Permit #,Permit Type Description,Permit Subtype Description,Date Entered,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y
2023023374,Building Residential - Addition,Single Family Residence,4/11/2023 5:00,0,1916 18TH AVE S,NASHVILLE,TN,LOT 77 BELMONT PARK COMPANY ADDN,MAKER CONSTRUCTION LLC,CARA,CAA01R301,Addition and outbuilding construction    must comply with hcn2022068323,18,-86.79676712,36.13401421,1,37212,-9662171.918,4319077.224
D2020047607,Building Use & Occupancy,"Accessory Structure, Pools - Residential",10/24/2023 5:00,100000,2509 BELMONT BLVD,NASHVILLE,TN,LOT 2 BELMONT LAND CO.'S PLAN RESUB OF PT LT 181 & 182,SITEWORKS LLC,CAUO,CAA14U017,Proposed 13' x 32' Swimming Pool in rear yard.,18,-86.79453946,36.12519722,2,37212,-9661923.936,4317862.019
D2020068970,Building Residential - Addition,Single Family Residence,2/2/2023 6:00,105,4004 UNIVERSITY AVE,OLD HICKORY,TN,LOTS 9 11 13 15 17 BLK X HADLEY BEND CITY,MUSIC CITY HANDYMEN LLC,CARA,CAA01R301,"adding a 6' wide by 17.5' deep, single story addition to an existing house.",11,-86.6332458,36.22895523,3,37138,-9643968.808,4332171.164
D2020080590,Building Residential - New,Single Family Residence,11/29/2021 6:00,439773,713 ELLIE DR,MADISON,TN,LOT 16 AMQUI PLACE SECTION TWO,K & J Associates,CARN,CAA01R301,"Construct new home on lot 15 of Amqui Place, on Ellie Drive. must comply with tree regulations one new two inch tree for every 30' road frontage. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. 1781 sf living area. 20' min front s/b; 5' mi side s/b; 20' min rear s/b.",9,-86.70088255,36.27417631,4,37115,-9651498.097,4338413.488
D2021026275,Building Residential - Addition,Single Family Residence,8/2/2024 5:00,318761,5500 THALMAN DR,BRENTWOOD,TN,LOT 14 GRANBERRY HEIGHTS SEC. 4 & PT OF RESERVE PAR,"SCRUGGS, E C & SONS",CARA,CAA01R301,5500 Thalman Drive,26,-86.74968487,36.04588621,5,37027,-9656930.746,4306937.082
D2021058163,Building Residential - New,Single Family Residence,10/11/2021 5:00,0,301 MOUNTAINSIDE DR,NASHVILLE,TN,LOT 358 SEC 8 SEVEN HILLS,"GRAHAM, BAIRD COMPANY LLC, THE",CARN,CAA01R301,"Build new single-family residence at 1306 Hildreth Drive Nashville, TN 37215",34,-86.81235564,36.08247294,6,37215,-9663907.224,4311975.463
D2021058999,Building Use & Occupancy,Master Permit Application,9/14/2021 5:00,829603,1600 WEST END AVE,NASHVILLE,TN,UNIT OFFICE THE RESIDENCES AT BROADWEST AMENDED,"Banyan Construction Services, LLC",CAUO,CAZ03A001,Tenant build out of a Sola Salon.,19,-86.79337817,36.15429914,7,37203,-9661794.662,4321873.519
D2021065520,Building Residential - New,Single Family Residence,10/22/2021 5:00,0,1819 RIVER DR,NASHVILLE,TN,LOT 35 HALEYS SUB SHEEGOG,X5 CONSTRUCTION LLC,CARN,CAA01R301,"REJECTED: HPR UNIT REQUIRES FOLLOWING TO PERMIT:    HPR MUST BE RECORDED AND UNIT PARCELS CREATED PRIOR TO PERMIT APPLICATION.    CONTEXTUAL SURVEY REQUIRED DEPICTING ADJOINING PARCELS WITH FRONT CONTEXTUAL SETBACK CALCULATED. STAMPED BY REGISTERED LAND SURVEYOR.    SITE PLAN DEPICTING PROPOSED RESIDENCE WITH SETBACKS ETC. DEPICTED. STAMPED BY REGISTERED LAND SURVEYOR.    BUILDING HEIGHT ELEVATION WITH HEIGHT LABELED. STAMPED BY REGISTERED LAND SURVEYOR.      To construct 3131 SF single family residence (HPR) with 469Sf attached garage and 511SF porches and decks. 5' min. side setback, 42.0' min front street s/b and 20' min. rear setback, not to be over any easements. units detached. min required distance between structures is 6' min with no bump outs.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.* For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***. must comply fully with metro council bills 2014-725 and 2014-770.",2,-86.83115313,36.18941191,8,37218,-9665999.751,4326715.556
D2021065998,Building Residential - Rehab,Single Family Residence,10/14/2021 5:00,181751,121 39TH AVE N,NASHVILLE,TN,LOT 61 WEST GROVE,R3 Contractors,CARR,CAA01R301,"Remodel bathrooms and kitchen, reframe stairs to make them wider, scab on to roof framing to insulate it properly, new flooring, new windows, new exterior doors, painting. … …NO CHANGE TO BUILDING FOOTPRINT… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …    ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",24,-86.83175209,36.14221745,9,37209,-9666066.427,4320207.961
D2021070891,Building Residential - Addition,Single Family Residence,11/4/2021 5:00,10000,813 A HALCYON AVE,NASHVILLE,TN,UNIT A HOMES AT 813 HALCYON,KG CONSTRUCTION LLC,CARA,CAA01R301,TO CONSTRUCT ROOF OVER EXISTING 12'X26' DECK LOCATED OFF REAR OF SINGLE FAMILY RESIDENCE… …5’ MINIMUM SIDE SETBACK… …20’ MINIMUM REAR SETBACK… …NOT TO BUILD OVER OR OBSTRUCT EASEMENTS… …,17,-86.78325318,36.12200673,10,37204,-9660667.553,4317422.323
