Permit #,Permit Type Description,Permit Subtype Description,Parcel,Date Entered,Date Issued,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,IVR Tracking,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y,Permit Description
2023023374,Building Residential - Addition,Single Family Residence,10412024600,4/11/2023 5:00,,0,1916 18TH AVE S,NASHVILLE,TN,LOT 77 BELMONT PARK COMPANY ADDN,MAKER CONSTRUCTION LLC,CARA,CAA01R301,4302991,Addition and outbuilding construction    must comply with hcn2022068323,18,-86.79676712,36.13401421,1,37212,-9662171.918,4319077.224,Building Residential Addition
D2020068970,Building Residential - Addition,Single Family Residence,6308004200,2/2/2023 6:00,,105,4004 UNIVERSITY AVE,OLD HICKORY,TN,LOTS 9 11 13 15 17 BLK X HADLEY BEND CITY,MUSIC CITY HANDYMEN LLC,CARA,CAA01R301,3891358,"adding a 6' wide by 17.5' deep, single story addition to an existing house.",11,-86.6332458,36.22895523,3,37138,-9643968.808,4332171.164,Building Residential Addition
D2020080590,Building Residential - New,Single Family Residence,043060A01600CO,11/29/2021 6:00,,439773,713 ELLIE DR,MADISON,TN,LOT 16 AMQUI PLACE SECTION TWO,K & J Associates,CARN,CAA01R301,3910196,"Construct new home on lot 15 of Amqui Place, on Ellie Drive. must comply with tree regulations one new two inch tree for every 30' road frontage. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. 1781 sf living area. 20' min front s/b; 5' mi side s/b; 20' min rear s/b.",9,-86.70088255,36.27417631,4,37115,-9651498.097,4338413.488,Building Residential New
D2021026275,Building Residential - Addition,Single Family Residence,16109004000,8/2/2024 5:00,,318761,5500 THALMAN DR,BRENTWOOD,TN,LOT 14 GRANBERRY HEIGHTS SEC. 4 & PT OF RESERVE PAR,"SCRUGGS, E C & SONS",CARA,CAA01R301,3974584,5500 Thalman Drive,26,-86.74968487,36.04588621,5,37027,-9656930.746,4306937.082,Building Residential Addition
D2021058163,Building Residential - New,Single Family Residence,13115007400,10/11/2021 5:00,,0,301 MOUNTAINSIDE DR,NASHVILLE,TN,LOT 358 SEC 8 SEVEN HILLS,"GRAHAM, BAIRD COMPANY LLC, THE",CARN,CAA01R301,4036720,"Build new single-family residence at 1306 Hildreth Drive Nashville, TN 37215",34,-86.81235564,36.08247294,6,37215,-9663907.224,4311975.463,Building Residential New
D2021065520,Building Residential - New,Single Family Residence,8101004400,10/22/2021 5:00,,0,1819 RIVER DR,NASHVILLE,TN,LOT 35 HALEYS SUB SHEEGOG,X5 CONSTRUCTION LLC,CARN,CAA01R301,4048047,"REJECTED: HPR UNIT REQUIRES FOLLOWING TO PERMIT:    HPR MUST BE RECORDED AND UNIT PARCELS CREATED PRIOR TO PERMIT APPLICATION.    CONTEXTUAL SURVEY REQUIRED DEPICTING ADJOINING PARCELS WITH FRONT CONTEXTUAL SETBACK CALCULATED. STAMPED BY REGISTERED LAND SURVEYOR.    SITE PLAN DEPICTING PROPOSED RESIDENCE WITH SETBACKS ETC. DEPICTED. STAMPED BY REGISTERED LAND SURVEYOR.    BUILDING HEIGHT ELEVATION WITH HEIGHT LABELED. STAMPED BY REGISTERED LAND SURVEYOR.      To construct 3131 SF single family residence (HPR) with 469Sf attached garage and 511SF porches and decks. 5' min. side setback, 42.0' min front street s/b and 20' min. rear setback, not to be over any easements. units detached. min required distance between structures is 6' min with no bump outs.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.* For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***. must comply fully with metro council bills 2014-725 and 2014-770.",2,-86.83115313,36.18941191,8,37218,-9665999.751,4326715.556,Building Residential New
D2021065998,Building Residential - Rehab,Single Family Residence,10401028400,10/14/2021 5:00,,181751,121 39TH AVE N,NASHVILLE,TN,LOT 61 WEST GROVE,R3 Contractors,CARR,CAA01R301,4048740,"Remodel bathrooms and kitchen, reframe stairs to make them wider, scab on to roof framing to insulate it properly, new flooring, new windows, new exterior doors, painting. … …NO CHANGE TO BUILDING FOOTPRINT… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …    ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",24,-86.83175209,36.14221745,9,37209,-9666066.427,4320207.961,Building Residential Rehab
D2021070891,Building Residential - Addition,Single Family Residence,118014J00100CO,11/4/2021 5:00,,10000,813 A HALCYON AVE,NASHVILLE,TN,UNIT A HOMES AT 813 HALCYON,KG CONSTRUCTION LLC,CARA,CAA01R301,4056198,TO CONSTRUCT ROOF OVER EXISTING 12'X26' DECK LOCATED OFF REAR OF SINGLE FAMILY RESIDENCE… …5’ MINIMUM SIDE SETBACK… …20’ MINIMUM REAR SETBACK… …NOT TO BUILD OVER OR OBSTRUCT EASEMENTS… …,17,-86.78325318,36.12200673,10,37204,-9660667.553,4317422.323,Building Residential Addition
D2021076710,Building Residential - New,Single Family Residence,074160A07500CO,11/30/2021 6:00,,358918,6149 BINNS LN,HERMITAGE,TN,LOT 75 PARKHAVEN COMMUNITIES PH 1,CRAIGHEAD DEVELOPMENT,CARN,CAA01R301,4064957,"*****PLANNING NOT TO REVIEW INDIVID. PERMITS********CONSTRUCT 2713SF SINGLE FAMILY RESIDENCE WITH 714SF GARAGE, 231SF UNFINISHED SPACE AND 297SF PORCH . PRIOR TO U&O, DEVELOPER TO PROVIDE THIRD PARTY ENGINEER CERTIFICATION OF COMPLIANCE WITH ALL APPLICABLE CONDITIONS OF SPECIFIC PLAN 2016SP-046-001/BL2016-408 AND APPROVED FINAL SITE PLAN 2016SP-046-002. NOT TO BE OVER ANY EASEMENTS. PURSUANT # 2006-1263 METRO CODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS...............NEW INSTALL",14,-86.63985517,36.19504837,11,37076,-9644704.56,4327493.024,Building Residential New
D2022000259,Building Residential - Rehab,"Multifamily, Tri-Plex, Quad, Apartments",8116049000,1/3/2022 6:00,,0,1206 PHILLIPS ST,NASHVILLE,TN,LOT 41 PT 40 HARDING PLAN,HUFFINE FIRST SERVICE,CARR,CAA03R398,4075803,Cosmetic renovations and window replacements on the entire building.,21,-86.79894913,36.16965871,13,37208,-9662414.819,4323991.331,Building Residential Rehab
