Permit #,Permit Type Description,Permit Subtype Description,Date Entered,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y,Permit Description
T2021054463,Building Commercial - Tenant Finish Out,Restaurant (Full Service),8/24/2021 5:00,0,1244 3RD AVE N,NASHVILLE,TN,RETAIL UNIT GERMANTOWN STORAGE CONDOMINIUM,MICHAEL STUART,CACT,CAF19A203,interior build out of shell space for GERMANTOWN RESTURANT POC MICHAEL STUART 615-604-5713.  SP ZONING.,19,-86.78616584,36.17773804,56,37208,-9660991.789,4325105.493,Building Commercial Tenant Finish Out
T2021054905,Building Commercial - New,Temporary Festival,8/25/2021 5:00,1,3955 NOLENSVILLE PIKE,NASHVILLE,TN,LOT 5 ELYSIAN PLAZA SUB RESUB OF LOTS 4 & 5,SELF CONTRACTOR COMMERCIAL (SEE APPLICANT INFORMATION),CACN,CAL15A199,construct 20 x24 temp stage for PLAZA MARICHI STAGE to be removed after one day Sept 4th  POC SUZZANNA VASQUEZ 615-586-1968,26,-86.73026357,36.08468503,60,37211,-9654768.777,4312280.167,Building Commercial New
T2021055737,Building Commercial - Rehab,"Retail, Department / Retail Stores",8/30/2021 5:00,0,1006 FATHERLAND ST 207,NASHVILLE,TN,LOTS 1 THRU 5 HANNERS ADDN & CLOSED ALLEY #316,Ali Humbrecht 215-740-3416,CACR,CAF20M001,"Plans must be submitted electronically via ePlans system for Commercial and Fire Reviews.  Self Permitting.  Renovations to Suite 207 for use as GUERILLA BIZKITS retail and takeout business. No food served on site, retail sales of frozen pre-made items and non food items. Work completed includes adding a sink, refrigerator and freezer. No structural changes. 1. Acknowledges  applying for this self building permit in own name, & will act as own contractor accepting full responsibility for code compliance, for hiring & employing individuals & has ultimate responsibility for my own work & for the work of others.  Acting as my own general contractor, I further understand that I may forfeit certain protections, which might be available to me through the State of Tenn general contractor’s licensing process.  I further acknowledge that as a self building permit holder I am responsible for requesting all required inspections & completing all authorized work in compliance with applicable adopted codes.  I further understand that separate permits are required for any proposed electrical, plumbing, & gas/mechanical work and is not part of this building permit. 2. Pursuant # 2006-1263  Metro code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code...3...You can dig your footers, but do not pour any concrete until you call for an inspection.  Also do not put up any drywall until you call for an inspection.  The idea is you do not cover up anything  with concrete or drywall until an inspector has had a chance to review..***  POC:Ali Humbrecht 215-740-3416",6,-86.750966,36.17390363,70,37206,-9657073.361,4324576.703,Building Commercial Rehab
T2021055789,Building Commercial - New,"Multifamily, Townhome",8/30/2021 5:00,0,613 B VERNON AVE,NASHVILLE,TN,PT LOT 35 B F COCKRILL FARM & PT BLK 36 COCKRILL FARM,centric architecture,CACN,CAA03R301,The work is for 24 townhouses permitted as an SP.  The SP Number is 2020SP-016-002  Master Permit Number T2021010057 POC GINA EMMANUEL 615-385-9600.,20,-86.86907091,36.15704415,73,37209,-9670220.739,4322251.977,Building Commercial New
T2021056202,Building Commercial - Addition,"Religious Institution, Fellowship Hall",8/31/2021 5:00,0,4112 UNION ST,OLD HICKORY,TN,"LOT 1 HADLEYS BEND CITY RESUB LTS 7,9,11,13,15,17,19,& 21",Marin George 615-579-4861,CACA,CAB10A390,BZA Order 2021-138 Special Exception granted with conditions: Parking shall meet requirements of Metro Zoning Code and  B  Level landscaping buffer is provided along property boundary when adjacent to residential uses.    Expansion of Use Requires approval of Special Exception use by Board of Zoning Appeals per 17.16.140  Plans must be submitted electronically via ePlans system for Review.  To construct a Fellowship Hall addition to existing church for St. John Chrysoston Romanian Orthodox Church.   4108 & 4112 Union St to be combined prior to issuance of permit. Sidewalk requirement to be determined once Commercial review is complete.  POC: Marin George 615-579-4861,11,-86.62668036,36.22454692,82,37138,-9643237.947,4331562.833,Building Commercial Addition
T2021056513,Building Commercial - Rehab,Hotel / Motel,9/1/2021 5:00,0,250 ATHENS WAY,NASHVILLE,TN,LOT 9D RESUB LOT 9C METROCENTER,Lindsey Slay,CACR,CAF14R102,Interior & Exterior Renovations SPRINGHILL SUITES  POC LINDSEY SLAY,2,-86.8008643,36.19372285,88,37228,-9662628.014,4327310.183,Building Commercial Rehab
T2021056577,Building Commercial - Tenant Finish Out,"General Office, Professional Services",9/1/2021 5:00,0,2721 COUCHVILLE PIKE,NASHVILLE,TN,LOT 1 HAMILTON CREEK,LENNY BUNDY,CACT,CAD02B016,build out of 1600 sq.ft. office space inside new warehouse suite   POC LENNY BUNDY,13,-86.63549641,36.11208008,89,37217,-9644219.345,4316054.398,Building Commercial Tenant Finish Out
T2021056754,Building Commercial - Rehab,Automobile Parking - Structure,9/2/2021 5:00,700000,6000 PASQUO RD,NASHVILLE,TN,S/W CORNER PASQUO RD & NUNAHI TL-HILLS OF NUN'AHI,ELAN MENGELBERG,CACR,CAF03S002,Expansion of pervious paver parking lot at existing facility along with associated curbs and sidewalks adding 110 spaces.  POC ELAN MENGLBERG,35,-86.96923676,36.02878183,94,37221,-9681371.151,4304582.431,Building Commercial Rehab
T2021056887,Building Commercial - Rehab,Restaurant (Fast Food),9/2/2021 5:00,128241,310 W TRINITY LN,NASHVILLE,TN,P/O LOT 1 TUNSTALL SUB,ayson brittain,CACR,CAF30A203,"955 SF building, with new equipment, mechanical, plumbing, electrical, signage, and site improvements  POC JAYSON BRITTAN",2,-86.78049056,36.20643722,98,37207,-9660360.02,4329064.121,Building Commercial Rehab
T2021057683,Building Commercial - New,"General Office, Professional Services",9/8/2021 5:00,0,707 YOUNGS LN,NASHVILLE,TN,LOTS 3-4-PT 5 RESUB BLK B&C HAYNIES FREE SILVER PL-PT CL ST,SCOTT JOHNSON 615-414-4463,CACN,CAD02B016,"New construction using existing foundation.  To construct 4,530 sf two-story administrative office building using existing foundation for PAGODA of MEDICINE. No change in use, remains office building. Demolition portion of project to be completed on permit 2021029218. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. 15 parking spaces provided. Sidewalks ARE required for this project because the frontage of this parcel is within a 1/4 mile of a Nashville Next Center.You are eligible to contribute to the Pedestrian Benefit Zone in-lieu of construction, provided that there is not a substandard sidewalk on the property, existing sidewalk on the block face or proposed sidewalk on the block face.",2,-86.79496867,36.20551508,105,37207,-9661971.716,4328936.903,Building Commercial New
